iter	Logloss
0	0.5998890166
1	0.5234789479
2	0.4741879468
3	0.434913701
4	0.4084390392
5	0.3883438598
6	0.3737198618
7	0.3620886491
8	0.35317088
9	0.3445963501
10	0.337773113
11	0.3324544547
12	0.3285898686
13	0.3258275257
14	0.322544729
15	0.3198810914
16	0.3173192607
17	0.3151966377
18	0.3139604829
19	0.3127502534
20	0.31092967
21	0.3096860983
22	0.3084295363
23	0.3069680278
24	0.3059891351
25	0.3048811382
26	0.3040105432
27	0.3030262581
28	0.3022484041
29	0.3015757934
30	0.3007440383
31	0.2998082871
32	0.299119819
33	0.2985476653
34	0.2976186009
35	0.296991373
36	0.2963651707
37	0.2958990892
38	0.2949142717
39	0.2944374013
40	0.2939947301
41	0.2937114514
42	0.2932504506
43	0.2928694054
44	0.2924385303
45	0.2920470124
46	0.2918048682
47	0.2913019071
48	0.2908540826
49	0.2905772242
50	0.2902399062
51	0.2899158371
52	0.289588141
53	0.2890346601
54	0.2887554768
55	0.288403277
56	0.2879023456
57	0.287691751
58	0.2873129753
59	0.2869890938
60	0.2867697102
61	0.2865036097
62	0.2859170521
63	0.2854655616
64	0.2841488026
65	0.2838328319
66	0.2836322737
67	0.2833340883
68	0.2831643892
69	0.282976985
70	0.2828651392
71	0.2825989332
72	0.2824070763
73	0.2817958381
74	0.2813980116
75	0.281197833
76	0.2809665282
77	0.280573945
78	0.2802912852
79	0.2796613177
80	0.279003609
81	0.2788473632
82	0.2785822586
83	0.2783787453
84	0.2780022963
85	0.2778114271
86	0.2774505321
87	0.2770564449
88	0.2768750206
89	0.2761281446
90	0.2756208553
91	0.2754515586
92	0.2751322496
93	0.2749326402
94	0.27466884
95	0.2743614346
96	0.2739729422
97	0.2737799043
98	0.2734960865
99	0.2732603024
100	0.2731066743
101	0.2728446838
102	0.2720801322
103	0.2718850892
104	0.2716785931
105	0.2713392731
106	0.271161657
107	0.2709927217
108	0.2707751719
109	0.2705690126
110	0.2704511206
111	0.2702174045
112	0.2700120674
113	0.2697295914
114	0.2694893565
115	0.2693004333
116	0.2690984453
117	0.2683727204
118	0.2680014238
119	0.2676989115
120	0.2675221112
121	0.2673908163
122	0.2672772477
123	0.2670605092
124	0.2668672524
125	0.2666963195
126	0.2660756985
127	0.2658598745
128	0.265606106
129	0.2653986155
130	0.2647876402
131	0.2646294399
132	0.2642742068
133	0.2640984617
134	0.2638335544
135	0.263684648
136	0.2635145634
137	0.263315379
138	0.2631286785
139	0.2629821088
140	0.2627906704
141	0.2626005702
142	0.2624261523
143	0.2622741658
144	0.2620607571
145	0.2619191723
146	0.2617200119
147	0.2616187035
148	0.2614937396
149	0.2613477418
150	0.2611696523
151	0.2608238088
152	0.2603824489
153	0.2602242478
154	0.2599886801
155	0.2597374287
156	0.2594983661
157	0.259352514
158	0.2591605097
159	0.2590209606
160	0.2588075239
161	0.2587370224
162	0.2586085081
163	0.2584594718
164	0.2583281629
165	0.258085035
166	0.2578520282
167	0.257615194
168	0.2575033568
169	0.2573636575
170	0.2572457802
171	0.2570967011
172	0.2568695701
173	0.2567171225
174	0.2566260939
175	0.256490456
176	0.2561214732
177	0.2560002658
178	0.2558927379
179	0.2557148827
180	0.2556065628
181	0.2554542199
182	0.2553552046
183	0.2552351183
184	0.2550711729
185	0.2549362432
186	0.2547687146
187	0.2546630116
188	0.2545482712
189	0.2544254036
190	0.2542968546
191	0.2539805195
192	0.253792544
193	0.2536664296
194	0.2534840579
195	0.2533258996
196	0.2531494399
197	0.2529946255
198	0.2528488015
199	0.2527015705
200	0.2525866899
201	0.2524093224
202	0.2522855019
203	0.2521898163
204	0.2519835878
205	0.2518663246
206	0.251613619
207	0.2514940386
208	0.2513464184
209	0.2512462869
210	0.2509654721
211	0.2508647497
212	0.2506663999
213	0.2505673282
214	0.2504523301
215	0.2502555695
216	0.2501589506
217	0.2500174505
218	0.2499017677
219	0.2498160006
220	0.2497414472
221	0.2494805591
222	0.2493542726
223	0.249251876
224	0.2491027685
225	0.2490189668
226	0.2488869541
227	0.2487531453
228	0.2486989875
229	0.2486089668
230	0.2484711623
231	0.2483892928
232	0.2482780277
233	0.2481797436
234	0.2481051949
235	0.2479662411
236	0.2478720234
237	0.2477527429
238	0.247568064
239	0.2474410132
240	0.2473525545
241	0.2471859501
242	0.2471024579
243	0.2470332083
244	0.2469553344
245	0.2468304968
246	0.2466838614
247	0.2465597042
248	0.2464793964
249	0.246310175
250	0.2461152489
251	0.245964566
252	0.2458192391
253	0.2457245847
254	0.245600282
255	0.2455198476
256	0.2454566197
257	0.2453401818
258	0.2452807013
259	0.2451571624
260	0.2450017994
261	0.2449191795
262	0.2447651853
263	0.2446751743
264	0.2445715908
265	0.2444285994
266	0.244312049
267	0.2441247626
268	0.2439572155
269	0.2438286214
270	0.2437397169
271	0.243628297
272	0.2435382764
273	0.2434301301
274	0.2433349184
275	0.2432776749
276	0.243212154
277	0.2430871572
278	0.2430011042
279	0.2429377546
280	0.2427906784
281	0.2426982194
282	0.2425773778
283	0.2425084134
284	0.2424587392
285	0.242397955
286	0.2423206158
287	0.242142512
288	0.2419843291
289	0.2418422098
290	0.2417297866
291	0.2416597869
292	0.2415817865
293	0.2415285338
294	0.2414109891
295	0.2413644993
296	0.241245482
297	0.2410458333
298	0.2409781873
299	0.2408598266
